Analyte Area	y	H3N2	H3N2F1	H4N2	H3N3	H4N2F1	H5N2	H3N3F1	H4N3	H3N4	H6N2	H4N3F1	H5N3	H3N4F1	H4N4	H3N5	H7N2	H4N3S1	H5N3F1	H6N3	H3N4S1	H4N4F1	H5N4	H3N5F1	H4N5	H8N2	H5N3S1	H5N4F1	H4N5F1	H5N5	H5N4S1F1	H9N2	H4N5S1F1	H5N4S1	H4N5F2	H5N5F1	H6N5	H4N6F1	H10N2	H5N6	H5N4S1F1	H5N5S1	H6N5F1	H3N6S1F1	H5N6F1	H5N5S1F1	H6N5S1	H5N6F2	H6N6F1	H7N6	H6N5S1F1	H7N6F1	H6N7F1	H7N6F2	H7N7F1	H7N6S1F1	H6N5S3	H8N7F1	H9N8F1	H10N9F1
k1_dhb_rep1_0_L23_1.xy	1	3163.357481	4885.690634	3670.847746	3771.857637	4772.231652	8013.155773	6065.159283	6113.900448	5187.203532	10538.74611	8248.52286	6297.685627	12570.82448	6472.373584	5385.304828	9507.25848	5616.493626	6316.845262	7245.353756	6192.679467	19627.60006	29209.67931	9644.531097	6997.49639	12319.5699	6490.027809	139448.9817	22217.03765	7672.784048	34621.05627	12301.40797	10566.91552	17158.87548	9442.140085	16592.12303	9514.071347	7674.117278	7643.669694	7042.52432	34621.05627	10074.16894	32665.22565	10170.36848	11056.438	9394.281071	9474.305399	8115.305196	10016.09221	8062.48938	13033.24848	16340.44975	8769.787868	7575.291301	8797.267863	9101.482223	9935.063886	13051.72062	11631.95938	9792.444617
k1_dhb_rep2_0_L24_1.xy	1	2682.009781	3283.915197	2969.17161	3009.109755	3950.000193	4904.763841	4395.516032	4288.148969	4036.272972	5586.368368	4894.991038	4287.151887	5996.438816	4356.754844	3990.753027	5379.095406	4115.306275	4372.387788	4650.712191	4277.655666	8149.606043	11098.23841	5395.673543	4539.362353	6207.249339	4406.918471	43196.44557	9125.583013	4781.423147	13192.44185	6308.52537	6332.237789	7708.509968	5275.611263	7527.843618	5430.793041	4752.174632	4770.727364	4585.697599	13192.44185	6133.565456	13132.25084	6201.701324	6453.392746	5913.0345	5815.519217	5490.849622	6161.15128	5385.116332	7211.51956	8148.223309	5669.394241	5208.575732	5734.396884	5778.351508	6064.139305	6909.803692	7159.002528	6539.060792
k1_dhb_rep3_0_B7_1.xy	1	1011.698875	2374.803114	1685.586602	1415.959163	1734.228838	4777.688114	3575.582053	3469.130399	2098.765885	8220.900123	7046.889205	3681.030498	10059.9179	3951.232204	2568.572474	7225.113058	2792.547961	3838.687602	4934.189379	3653.787011	18302.06291	31018.243	8245.871354	4120.547088	10518.38452	3425.795649	156742.9993	19772.70212	5531.626487	30572.72845	10033.82272	6359.609149	14393.06354	6159.725264	13629.50508	7100.636271	4474.131359	4790.947135	4168.046304	30572.72845	6718.166854	32427.77149	6082.270275	7248.66288	5295.010909	5633.235141	4454.340944	6590.416328	4219.345169	9232.447877	15452.14661	5079.04918	3872.157962	5362.915557	5537.557794	7327.828465	11013.22143	8292.943421	5963.84275
k1_dhb_rep4_0_B8_1.xy	1	2029.285562	5595.32858	2722.394593	2742.43915	3021.560256	10516.32954	8007.43611	6709.111721	4092.047101	16173.28196	14261.71338	6766.465246	20249.88136	7301.919273	4562.570428	12918.09511	4963.733039	6884.641845	8098.035591	5953.659218	35384.63429	58591.33626	18204.55352	7917.495021	16864.87536	5880.305448	299702.6768	39455.84023	12919.33013	80141.97496	17612.62101	12995.0659	32014.89466	11524.00684	27298.2284	12880.2622	8676.320996	8737.282142	7355.335295	80141.97496	13448.48543	59710.76532	12025.92704	14229.96284	10836.91458	11436.40246	8074.921248	11862.89007	8185.777554	21961.69812	26166.31351	9309.711604	7211.597378	9616.977093	12612.05443	12468.52524	18706.50113	13951.52127	9966.898096
k10_dhb_rep1_0_M11_1.xy	1	5171.100202	14595.62874	7797.227203	6086.685464	6317.380916	34071.85513	12907.85952	9564.629439	7085.716762	35981.52452	18049.03562	8291.245835	37196.97009	12323.24302	8249.263023	32468.34301	11548.22136	9852.907233	10736.54294	10536.71446	40059.47746	84167.56469	29659.29452	11773.87761	32813.59985	9726.18811	142785.8107	46510.50621	12469.38492	45376.90236	21130.09963	19376.28937	88496.58755	23095.13893	46190.83242	14865.21745	13085.00983	11334.00341	10179.15827	45376.90236	24548.59226	37404.6282	18719.92702	19454.60352	19853.33045	20240.72509	15320.90016	23223.71166	11594.92096	20559.26562	26656.29278	17119.2255	13467.63141	23581.06226	12660.05452	10608.26652	13315.39368	8721.176182	6980.419156
k10_dhb_rep2_0_M12_1.xy	1	6565.703876	21391.56413	10666.00043	8118.561723	7792.907314	50190.52833	19401.25597	13325.74536	9677.076665	61383.03044	30580.87843	12448.71694	71547.48735	21449.79828	13558.9728	59759.66056	18696.78779	16072.76173	18438.67431	18776.80438	84579.2496	174069.1738	61991.53399	22240.30137	69326.655	17830.57794	326970.9445	102423.2325	25113.2299	109883.3217	46697.2032	44116.08688	209227.3997	54021.1528	116640.2989	31476.00021	28710.43425	24076.07376	21318.8078	109883.3217	56357.4366	93958.74345	43032.365	43182.15724	44405.42937	44389.25118	32505.27709	54725.18995	22317.85864	44248.95392	67663.90437	35953.60716	30811.81488	57609.01958	25489.70872	21048.55346	28941.70195	14034.1971	9347.126679
k10_dhb_rep3_0_B19_1.xy	1	5688.25499	18332.49012	7915.28058	6231.158168	5162.145894	63526.71878	27781.82592	13708.44773	8117.683109	85296.89318	48626.94803	11769.17974	91586.81376	23595.58886	13321.94406	72645.37909	19612.96353	21373.61986	18659.89712	19580.09613	104377.1535	211934.1376	86386.55281	23076.98137	78424.35028	16210.34101	382316.9199	121578.9293	29988.52108	117551.6146	61524.14588	39402.0282	245480.2327	70865.62596	160012.9725	36583.31293	30742.90244	24663.55375	21770.75246	117551.6146	53379.14428	128714.4361	39570.5549	49421.05746	41869.101	42542.57014	36956.90473	72059.63268	21605.0648	45375.34073	86638.86444	38095.68826	30666.54224	63139.51192	19939.06913	17715.30484	24943.52142	12041.91363	6084.175048
k10_dhb_rep4_0_B20_1.xy	1	6868.364131	23212.43503	9069.150598	6363.016487	5007.002242	71640.17794	28813.00342	13989.49871	7652.307978	84218.57023	46523.59253	11285.06723	89648.64383	21326.04394	11875.80237	69324.5983	18418.51299	18715.98001	17237.22715	17752.28383	107613.3889	237148.9992	84980.75471	22416.60585	77293.08208	13712.92313	452614.5801	140483.7138	30009.11306	159516.6703	62430.19617	42753.53359	307180.3745	76585.07469	196137.3831	40288.34368	31205.29293	23612.36464	20446.71181	159516.6703	60044.87232	153603.9753	40049.4832	54073.12679	51621.59513	50747.75234	40441.37527	84233.29014	22873.767	58798.97555	102537.501	43518.16056	34702.47748	76386.17189	24875.68734	20480.63888	30330.59473	14196.98457	6767.320231
k11_dhb_rep1_0_O23_1.xy	1	8064.86246	10884.90426	8984.042333	10391.28362	9667.907436	35081.06444	23056.62384	21450.83467	16501.12986	36720.03838	41425.40865	16813.34656	46764.56297	34984.97602	12691.69855	36691.56669	11551.64292	16118.75172	22467.15841	13327.07904	115636.5328	222786.1378	26031.77085	20043.87655	52551.60056	15483.67206	534973.5858	67089.21472	25733.21912	14749.80359	38593.98652	15713.83127	22696.96583	17044.26404	70088.83757	53035.22592	15088.08744	15182.04164	13714.59408	14749.80359	23952.36837	169103.0468	21114.05076	23088.97164	15922.83191	19148.16375	14913.97808	28369.94892	24624.81033	14215.21279	69456.18029	14686.31007	15434.0485	16670.22363	13472.40941	21085.1194	30874.99355	21585.37533	15347.91292
k11_dhb_rep2_0_O24_1.xy	1	10065.12719	16738.2091	12172.72091	15880.91653	11034.59129	46085.96235	37611.21862	41401.97396	22340.49704	63407.67687	74727.42553	24276.65775	65930.64007	80066.62641	20248.95118	66031.78354	14597.18286	23657.02121	38223.83312	17660.08874	172517.4769	585236.8504	47217.12926	33449.43456	94163.38523	22773.56937	747277.4759	74944.93269	54263.50413	17577.28069	66988.88718	20291.63808	31217.0602	21459.8194	126871.619	145951.0058	25313.72377	23903.0767	21232.26568	17577.28069	34533.53383	249556.7093	31410.63469	34128.71255	17975.83785	27273.16517	21512.74754	51783.66799	53764.26179	15878.29995	104472.8564	20677.77314	23067.84425	26644.61011	13319.4518	29362.66744	45026.98927	31495.34885	20754.69137
